spp,Lifeform,scientificNameAuthorship,Species,genus,Native_nonnative,fac.obl,perennial_annual,other,subspecies,notes
ACHMIL,FB,L. ,Achillea,millefolium,native,,P,,,
ACMAME,FB,(Nutt.) Rydb.,Acmispon,americanus,native,,,,var. americanus,
ACMBRA,FB,(Benth.)D.D.Sokoloff,Acmispon,brachycarpus,native,,,,,
ACMGLA,FB,(Vogel) Brouillet,Acmispon,glaber,native,OBL-S,P,N-fixer,,
ACMWRA,FB,(Fisch. & C.A. Mey.) D.D. Sokoloff,Acmispon ,wrangelianus,native,,,,,
ADFA,SH,Hook. & Arn.,Adenostoma,fasciculatum,native,FAC,P,,,
ADIJOR,FERN,C.H. Mull.,Adiantum,jordanii,native,,,,,
AESCAL,TR,(Spach) Nutt.,Aesculus ,californica,native,FAC,,,,
AGOGRA,FB,(Nutt.) Greene,Agoseris,grandiflora,native,,,,,
AIRCAR,GR,L. ,Aira,caryophyllea,non-native,,,,,
ALLGIL,FB,(Benth.) A.D. Grant and V.E. Grant,Allophyllum,gilioides,native,,,,,
AMSINT,FB,Fisch. & Mey.,Amsinckia ,intermedia,native,,,,,
AMSMEN,FB,(Lehm.) A.Nelson & J.F.Macbr.,Amsinckia ,menziesii,native,,,,,
ANTVEX,FB,Kellogg,Antirrhinum ,vexillo-calyculatum,native,,,,,
APHOCC,FB,(Nutt.) Rydb.,Aphanes ,occidentalis,native,,,,,
APIANG,FB,Nutt. ,Apiastrum,angustifolium,native,,,,,
ARCMAN,SH,Parry,Arctostaphylos,manzanita,native,OBL-S,P,,,
ASCCOR,FB,(Benth.) Jeps.,Asclepias,cordifolia,native,,,,,
ASCSOL,FB,Woodson,Asclepias,solanoana,native,,,rare 4.2,,
ASTER,FB,,Aster,,,,,,,
ASTGAM,FB,E. Sheld.,Astragalus,gambelianus,native,,,,,
ATHPUS,FB,(Hook.) Greene,Athysanus,pusillus  ,native,,,,,
AVEBAR,GR,Pott ex Link,Avena ,barbata,invasive non-native,,,,,
BACPIL,SH,DC.,Baccharis,pilularis,native,OBL-R,P,,,
BARORT,FB,Ledeb.,Barbarea,orthoceras,native,,,,,
BRADIS,GR,(L.) P. Beauv.,Brachypodium,distachyon,invasive non-native,,,,,
BRIMIN,GR,L. ,Briza,minor,non-native,,,,,
BRODIEA,FB,,Brodiea,unk,native,,,,,prob elegans
BROHOR,GR,L.,Bromus,hordeaceus,invasive non-native,,,,,
BRODIA,GR,Roth,Bromus,diandrus,invasive non-native,,,,,
BROMAD,FB,L.,Bromus,madritensis,non-native,,,,,
CALAMA,FB,Purdy,Calochortus,amabilis,native,,,,,
CALBRE,FB,S. Watson,Calandrinia,breweri,native,,,rare,,
CALMEN,FB,(Hook.) Torrey & A. Gray,Calandrinia,menziesii,native,,,,,
